Eye of the Tiger,['Survivor'],0.817,0.599,0.0873,0.132,0.548,108.873,1985
Kickstart My Heart,['Mötley Crüe'],0.359,0.981,0.284,0.00125,0.271,178.98,1989
Right Here Waiting,['Richard Marx'],0.395,0.252,0.101,0.8,0.126,177.679,1989
Wish You Were Here,['Pink Floyd'],0.481,0.262,0.832,0.735,0.375,122.883,1975
Wild World,['Yusuf / Cat Stevens'],0.48,0.542,0.113,0.345,0.567,152.853,1970
Listen to the Music,['The Doobie Brothers'],0.645,0.598,0.0721,0.221,0.913,105.929,1972
(Don't Fear) The Reaper,['Blue Öyster Cult'],0.333,0.927,0.297,0.0029,0.385,141.466,1976
You're so Vain,['Carly Simon'],0.659,0.678,0.0784,0.157,0.647,106.186,1972
Hooked on a Feeling,['Blue Swede' 'Björn Skifs'],0.547,0.82,0.3,0.261,0.933,118.208,1973
Walk This Way,['Aerosmith'],0.653,0.73,0.0754,0.0114,0.894,108.705,1975
Message In A Bottle,['The Police'],0.577,0.808,0.221,0.0338,0.869,151.008,1979
Don't Stop 'Til You Get Enough,['Michael Jackson'],0.878,0.821,0.183,0.126,0.947,118.881,1979
Spirit In The Sky,['Norman Greenbaum'],0.609,0.617,0.118,0.0994,0.543,128.903,1969
Gimme Shelter,['The Rolling Stones'],0.634,0.63,0.17,0.447,0.489,118.628,1969
We Didn't Start the Fire,['Billy Joel'],0.712,0.967,0.356,0.0771,0.895,145.024,1989
Let's Stay Together,['Al Green'],0.756,0.397,0.0542,0.57,0.507,101.985,1972
Is This Love,['Bob Marley & The Wailers'],0.776,0.559,0.0671,0.11,0.758,122.242,1978
You're The One That I Want - From “Grease”,['John Travolta' 'Olivia Newton-John'],0.758,0.612,0.0954,0.281,0.822,106.945,1978
Walk On the Wild Side,['Lou Reed'],0.575,0.318,0.0934,0.683,0.385,104.522,1972
How Deep Is Your Love,['Bee Gees'],0.633,0.357,0.133,0.105,0.674,104.938,1979
(Sittin' On) the Dock of the Bay,['Otis Redding'],0.769,0.367,0.081,0.684,0.535,103.621,1968
American Pie,['Don McLean'],0.531,0.481,0.0842,0.699,0.491,138.45,1971
Brandy (You're a Fine Girl),['Looking Glass'],0.716,0.625,0.134,0.396,0.826,125.276,1972
I'm On Fire,['Bruce Springsteen'],0.62,0.446,0.0727,0.589,0.868,88.591,1984
Build Me Up Buttercup - Mono,['The Foundations'],0.659,0.513,0.283,0.315,0.855,133.609,1968
The Lady In Red,['Chris de Burgh'],0.548,0.294,0.0392,0.332,0.491,76.698,1986
The Boys Are Back In Town,['Thin Lizzy'],0.445,0.706,0.205,0.234,0.768,80.823,1976
If You Leave Me Now,['Chicago'],0.429,0.564,0.128,0.0193,0.276,104.212,1976
Crazy Little Thing Called Love - Remastered 2011,['Queen'],0.599,0.761,0.349,0.713,0.712,77.015,1980
Another One Bites The Dust - Remastered 2011,['Queen'],0.933,0.528,0.163,0.112,0.756,109.975,1980
Jack & Diane,['John Mellencamp'],0.811,0.41,0.0799,0.0365,0.626,103.965,1982
You Can't Hurry Love,['The Supremes'],0.63,0.711,0.0813,0.299,0.659,96.912,1966
Mamma Mia,['ABBA'],0.749,0.748,0.469,0.295,0.827,137.547,1975
December 1963 (Oh What a Night!),['Frankie Valli & The Four Seasons'],0.737,0.495,0.0542,0.0588,0.967,104.409,1975
Rock And Roll All Nite,['KISS'],0.654,0.929,0.0539,0.0468,0.902,144.774,1975
Sweet Emotion,['Aerosmith'],0.38,0.76,0.104,0.00298,0.491,99.437,1975
Tainted Love,['Soft Cell'],0.5,0.501,0.26,0.462,0.623,144.438,1981
Rebel Rebel - 2016 Remaster,['David Bowie'],0.635,0.686,0.282,0.209,0.464,125.988,1974
Devuélveme a mi chica,['Hombres G'],0.603,0.843,0.445,0.0031,0.503,172.676,1985
Don't You (Forget About Me),['Simple Minds'],0.66,0.816,0.0608,0.168,0.678,111.346,1985
I Want To Break Free - Single Remix,['Queen'],0.795,0.435,0.0763,0.0841,0.596,108.95,1984
Radio Ga Ga - Remastered 2011,['Queen'],0.744,0.502,0.189,0.183,0.66,112.344,1984
Born in the U.S.A.,['Bruce Springsteen'],0.398,0.952,0.1,0.000373,0.584,122.093,1984
Give A Little Bit,['Supertramp'],0.531,0.818,0.263,0.0694,0.471,90.767,1977
Heroes - 2017 Remaster,['David Bowie'],0.49,0.758,0.092,0.000671,0.435,112.114,1977
We Are The Champions - Remastered 2011,['Queen'],0.268,0.459,0.118,0.378,0.175,64.177,1977
Purple Rain,['Prince'],0.367,0.452,0.689,0.0353,0.189,113.066,1984
Bohemian Rhapsody - Remastered 2011,['Queen'],0.392,0.402,0.243,0.288,0.228,143.883,1975
Carry on Wayward Son,['Kansas'],0.482,0.786,0.446,0.00321,0.793,126.755,1976
Break My Stride,['Matthew Wilder'],0.917,0.588,0.0914,0.195,0.828,110.077,1983
Maniac,['Michael Sembello'],0.617,0.533,0.0415,0.0891,0.835,158.86,1983
Wanted Dead Or Alive,['Bon Jovi'],0.252,0.802,0.309,0.13,0.253,150.056,1986
Boys Don't Cry,['The Cure'],0.462,0.836,0.18,0.00517,0.671,168.766,1979
We're Not Gonna Take It,['Twisted Sister'],0.502,0.924,0.162,0.0127,0.922,149.186,1984
Boogie Wonderland,['Earth Wind & Fire' 'The Emotions'],0.802,0.756,0.0521,0.0843,0.963,131.715,1979
Bennie And The Jets - Remastered 2014,['Elton John'],0.665,0.673,0.497,0.259,0.779,132.642,1973
Angie,['The Rolling Stones'],0.429,0.554,0.105,0.67,0.407,136.302,1973
Rock with You - Single Version,['Michael Jackson'],0.808,0.535,0.158,0.179,0.848,114.031,1979
Escape (The Pina Colada Song),['Rupert Holmes'],0.836,0.509,0.0436,0.467,0.949,138.714,1979
Blackbird - Remastered 2009,['The Beatles'],0.686,0.127,0.0573,0.754,0.372,93.699,1968
Layla,['Derek & The Dominos'],0.404,0.902,0.287,0.577,0.497,115.669,1970
Cecilia,['Simon & Garfunkel'],0.755,0.876,0.22,0.357,0.954,102.762,1970
House of the Rising Sun,['The Animals'],0.316,0.484,0.0912,0.000334,0.299,117.363,1987
Father And Son,['Yusuf / Cat Stevens'],0.495,0.326,0.0996,0.541,0.371,136.243,1970
Twist And Shout - Remastered 2009,['The Beatles'],0.482,0.849,0.0414,0.641,0.937,124.631,1963
Can't Fight This Feeling,['REO Speedwagon'],0.408,0.48,0.0877,0.155,0.19,156.344,1984
Pour Some Sugar On Me - Remastered 2017,['Def Leppard'],0.267,0.953,0.283,0.00211,0.568,84.989,1987
Alone,['Heart'],0.418,0.452,0.0959,0.638,0.168,175.088,1987
Sweet Child O' Mine,"[""Guns N' Roses""]",0.446,0.952,0.112,0.0901,0.624,125.303,1987
Go Your Own Way - 2004 Remaster,['Fleetwood Mac'],0.586,0.941,0.068,0.0167,0.831,135.448,1977
Another Day in Paradise - 2016 Remaster,['Phil Collins'],0.78,0.565,0.063,0.736,0.365,101.967,1989
This Charming Man - 2011 Remaster,['The Smiths'],0.611,0.846,0.0784,0.00509,0.751,103.912,1984
Let's Groove,['Earth Wind & Fire'],0.869,0.648,0.126,0.121,0.9,125.035,1981
I'm a Believer - 2006 Remaster,['The Monkees'],0.526,0.775,0.217,0.707,0.962,80.106,1967
Jamming,['Bob Marley & The Wailers'],0.934,0.467,0.109,0.102,0.73,123.583,1977
Barracuda,['Heart'],0.547,0.691,0.144,0.015,0.667,137.148,1977
Smoke On The Water - Remastered 2012,['Deep Purple'],0.598,0.676,0.112,0.13,0.805,114.169,1972
Don't You Want Me,['The Human League'],0.731,0.738,0.214,0.184,0.958,117.656,1981
