Fan de Tus Fotos,"['Nicky Jam', 'Romeo Santos']",0.728,0.689,0.109,0.293,0.431,170.089,2021
Además de Mí - Remix,"['Rusherking', 'KHEA', 'Duki', 'Maria Becerra', 'Lit Killah', 'Tiago PZK']",0.397,0.613,0.192,0.0396,0.405,78.4,2021
PROBLEMA,['Daddy Yankee'],0.773,0.8,0.0327,0.0613,0.842,89.988,2021
Antes,"['Anuel AA', 'Ozuna']",0.817,0.737,0.092,0.046,0.67,93.985,2021
Machu Picchu,"['Camilo', 'Evaluna Montaner']",0.788,0.789,0.226,0.397,0.867,167.897,2021
Kiss Me More (feat. SZA),"['Doja Cat', 'SZA']",0.762,0.701,0.123,0.235,0.742,110.968,2021
Love Story (Taylor’s Version),['Taylor Swift'],0.626,0.79,0.0989,0.135,0.416,119.082,2021
Disco Arranhado - Funk Remix,"['Malu', 'DJ Lucas Beat']",0.747,0.725,0.0626,0.551,0.904,129.96,2021
Slumber Party (feat. Princess Nokia),"['Ashnikko', 'Princess Nokia']",0.964,0.398,0.101,0.00151,0.563,105.012,2021
As I Am (feat. Khalid),"['Justin Bieber', 'Khalid']",0.595,0.543,0.0975,0.127,0.109,99.928,2021
Calling My Phone,"['Lil Tjay', '6LACK']",0.907,0.393,0.135,0.451,0.202,104.949,2021
"L-Gante: Bzrp Music Sessions, Vol.38","['Bizarrap', 'L-Gante']",0.553,0.819,0.0915,0.368,0.761,87.913,2021
On The Ground,['ROSÉ'],0.311,0.607,0.131,0.0174,0.286,188.7,2021
When I Was Your Man,['Bruno Mars'],0.612,0.28,0.088,0.932,0.387,72.795,2012
Can't Hold Us - feat. Ray Dalton,['Macklemore & Ryan Lewis'],0.641,0.922,0.0862,0.0291,0.847,146.078,2012
Locked out of Heaven,['Bruno Mars'],0.726,0.698,0.309,0.049,0.867,143.994,2012
Mood (feat. iann dior),"['24kGoldn', 'iann dior']",0.701,0.716,0.324,0.174,0.732,91.007,2021
Sunflower - Spider-Man: Into the Spider-Verse,"['Post Malone', 'Swae Lee']",0.76,0.479,0.0703,0.556,0.913,89.911,2018
No Role Modelz,['J. Cole'],0.692,0.521,0.0565,0.301,0.463,100.45,2014
Photograph,['Ed Sheeran'],0.614,0.379,0.0986,0.607,0.201,107.989,2014
Thunder,['Imagine Dragons'],0.605,0.822,0.147,0.00671,0.288,167.997,2017
Everybody Dies In Their Nightmares,['XXXTENTACION'],0.734,0.57,0.112,0.847,0.689,129.953,2017
Cloud 9,['Beach Bunny'],0.637,0.929,0.344,0.00167,0.902,80.974,2020
Kings & Queens,['Ava Max'],0.637,0.69,0.124,0.00786,0.457,129.857,2020
Monster (Shawn Mendes & Justin Bieber),"['Shawn Mendes', 'Justin Bieber']",0.652,0.383,0.0828,0.0676,0.549,145.765,2020
Don't Start Now,['Dua Lipa'],0.793,0.793,0.0951,0.0123,0.679,123.95,2020
Explícito,['Myke Towers'],0.828,0.83,0.0613,0.348,0.422,95.007,2020
Hawái,['Maluma'],0.787,0.728,0.0629,0.189,0.545,180.066,2020
Heat Waves,['Glass Animals'],0.761,0.525,0.0921,0.44,0.531,80.87,2020
Moonlight,['XXXTENTACION'],0.921,0.537,0.102,0.556,0.711,128.009,2018
