name,artists,popularity,danceability
Calling My Phone,"['Lil Tjay', '6LACK']",85,0.907
"L-Gante: Bzrp Music Sessions, Vol.38","['Bizarrap', 'L-Gante']",85,0.553
On The Ground,['ROSÉ'],85,0.311
When I Was Your Man,['Bruno Mars'],85,0.612
Can't Hold Us - feat. Ray Dalton,['Macklemore & Ryan Lewis'],85,0.641
Locked out of Heaven,['Bruno Mars'],85,0.726
Mood (feat. iann dior),"['24kGoldn', 'iann dior']",85,0.701
Sunflower - Spider-Man: Into the Spider-Verse,"['Post Malone', 'Swae Lee']",85,0.76
No Role Modelz,['J. Cole'],85,0.692
Photograph,['Ed Sheeran'],85,0.614
Thunder,['Imagine Dragons'],85,0.605
Everybody Dies In Their Nightmares,['XXXTENTACION'],85,0.734
Cloud 9,['Beach Bunny'],85,0.637
Kings & Queens,['Ava Max'],85,0.637
Monster (Shawn Mendes & Justin Bieber),"['Shawn Mendes', 'Justin Bieber']",85,0.652
Don't Start Now,['Dua Lipa'],85,0.793
Explícito,['Myke Towers'],85,0.828
Hawái,['Maluma'],85,0.787
Heat Waves,['Glass Animals'],85,0.761
Moonlight,['XXXTENTACION'],85,0.921
